url,posted_date,letter_date,company,issuing_office,subject
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/patcos-cosmetics-pvt-ltd-718220-03122026,03/17/2026,03/12/2026,Patcos Cosmetics Pvt. Ltd.,Center for Drug Evaluation and Research (CDER),Finished Drug Products/Adulterated
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/apothecary-pharma-llc-717972-12012025,03/17/2026,12/01/2025,"Apothecary Pharma, LLC",Center for Drug Evaluation and Research (CDER),Compounding Pharmacy/Adulterated Drug Products
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/oralabs-inc-720690-03112026,03/17/2026,03/11/2026,"OraLabs, Inc.",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/citra100mg-722606-03042026,03/17/2026,03/04/2026,Citra100mg,Center for Drug Evaluation and Research (CDER),Unapproved New Drugs/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/prillacomus-718688-03062026,03/17/2026,03/06/2026,prilla.com/us,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/trangs-group-usa-incorporated-723838-02242026,03/17/2026,02/24/2026,Trangs Group USA Incorporated,Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP)
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/avertix-medical-inc-711080-09032025,03/17/2026,09/03/2025,"Avertix Medical, Inc.",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/flowchem-pharma-private-limited-720719-03112026,03/17/2026,03/11/2026,Flowchem Pharma Private Limited,Center for Drug Evaluation and Research (CDER),CGMP/Active Pharmaceutical Ingredient (API)/Adulterated
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/vedic-lifesciences-pvt-ltd-722446-03092026,03/17/2026,03/09/2026,Vedic Lifesciences Pvt. Ltd.,Center for Drug Evaluation and Research (CDER),Good Laboratory Practice (GLP) for Nonclinical Laboratory Studies
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/z-distributor-inc-722245-02102026,03/17/2026,02/10/2026,A TO Z Distributor Inc,Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP)
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/feng-foods-trading-inc-720813-01162026,03/17/2026,01/16/2026,Feng Foods Trading Inc.,Office of Inspections and Investigations,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/novo-nordisk-inc-717576-03052026,03/10/2026,03/05/2026,Novo Nordisk Inc.,Center for Drug Evaluation and Research (CDER),Postmarketing Adverse Drug Experience Reporting Requirements
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/snushavencom-724257-02272026,03/10/2026,02/27/2026,snushaven.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/thesnuslifecom-724354-02272026,03/10/2026,02/27/2026,thesnuslife.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/idripejuicecom-724255-02272026,03/10/2026,02/27/2026,idripejuice.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/exactech-inc-dba-advita-ortho-720250-12192025,03/10/2026,12/19/2025,"Exactech, Inc. dba Advita Ortho",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/simtra-biopharma-solutions-720436-03032026,03/10/2026,03/03/2026,Simtra BioPharma Solutions,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/tentamus-india-private-limited-720463-03032026,03/10/2026,03/03/2026,Tentamus India Private Limited,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fareva-morton-grove-719408-03032026,03/10/2026,03/03/2026,Fareva Morton Grove,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/raw-bistro-inc-719038-02172026,03/10/2026,02/17/2026,Raw Bistro Inc.,Center for Veterinary Medicine,"CGMP/Food for Animals/Prepared, Packed or Held Under Insanitary Conditions/Adulterated"
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/nse-products-inc-dba-nu-skin-enterprises-inc-722667-03022026,03/10/2026,03/02/2026,"NSE Products, Inc. DBA Nu Skin Enterprises, Inc.",Center for Drug Evaluation and Research (CDER),Electronic Drug Registration and Listing System (eDRLS)/Violations
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sss-austar-llc-724502-03052026,03/10/2026,03/05/2026,SSS AUSTAR LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/el-rey-usa-meats-seafood-inc-722157-02192026,03/10/2026,02/19/2026,El Rey USA Meats & Seafood Inc.,Office of Inspections and Investigations,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/rio-verde-food-service-inc-719149-02272026,03/10/2026,02/27/2026,Rio Verde Food Service Inc.,Human Foods Program,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/premium-health-management-inc-dba-premium-health-721474-02202026,03/05/2026,02/20/2026,Premium Health Management Inc. dba Premium Health,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/kare-solutions-llc-dba-zappy-717991-02202026,03/03/2026,02/20/2026,"Kare Solutions, LLC dba Zappy",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/strut-health-llc-dba-strut-721448-02202026,03/03/2026,02/20/2026,"Strut Health, LLC dba Strut",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/peaks-curative-llc-dba-peaks-721817-02202026,03/03/2026,02/20/2026,"Peaks Curative, LLC dba Peaks",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/lean-rx-inc-dba-skinnyrx-717989-02202026,03/03/2026,02/20/2026,"Lean Rx, Inc. dba SkinnyRx",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/good-girl-llc-dba-goodgirlrx-721449-02202026,03/03/2026,02/20/2026,Good Girl LLC dba GoodGirlRX,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/refills-health-llc-dba-refills-health-721475-02202026,03/03/2026,02/20/2026,"Refills Health, LLC dba Refills Health",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/pharmazee-721473-02202026,03/03/2026,02/20/2026,PharmaZee,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/weightless-medical-llc-dba-weightcare-721478-02202026,03/03/2026,02/20/2026,Weightless Medical LLC dba WeightCare,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ivim-services-llc-dba-ivim-721816-02202026,03/03/2026,02/20/2026,Ivim Services LLC dba Ivim,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/viv-health-inc-dba-viv-rx-721818-02202026,03/03/2026,02/20/2026,"Viv Health, Inc. dba VIV RX",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/las-americas-supermercado2-inc-716877-09242025,03/03/2026,09/24/2025,Las Americas Supermercado#2 Inc.,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP)
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/join-josie-717986-02202026,03/03/2026,02/20/2026,Join Josie,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/kin-meds-721450-02202026,03/03/2026,02/20/2026,Kin Meds,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/newman-clinic-pllc-dba-newman-clinic-721470-02202026,03/03/2026,02/20/2026,"Newman Clinic, PLLC dba Newman Clinic",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/newself-limited-dba-newself-721472-02202026,03/03/2026,02/20/2026,NewSelf Limited dba NewSelf,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/24hrdoc-inc-dba-24hrdoc-717984-02202026,03/03/2026,02/20/2026,"24HrDoc, Inc. dba 24HrDoc",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/alan-health-technologies-inc-dba-alan-721814-02202026,03/03/2026,02/20/2026,Alan Health Technologies Inc. dba Alan,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/aspen-aesthetics-dba-fifty-410-721481-02202026,03/03/2026,02/20/2026,Aspen Aesthetics dba Fifty 410,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fitrx-llc-dba-fitrx-717987-02202026,03/03/2026,02/20/2026,"FitRX, LLC dba FitRx",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/deluxe-iv-aesthetics-pllc-dba-deluxe-iv-and-aesthetics-721447-02202026,03/03/2026,02/20/2026,Deluxe IV Aesthetics PLLC dba Deluxe IV and Aesthetics,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
